Raleigh-Durham,Wash D.C.,Jacksonville,Edmonton
39.47,31.01,50.99,-8.5
26.96,35.06,41,-0.85
24.98,22.01,34.52,-3.01
26.51,21.47,37.04,-0.22
26.51,29.03,35.51,-5.8
30.02,30.02,34.97,-10.57
33.98,32.54,40.01,-3.73
32,32.54,39.47,6.53
28.49,25.43,29.48,25.16
28.04,27.05,32.99,25.16
30.02,24.53,35.51,32.09
32.99,27.05,39.47,30.83
32.54,29.48,41,21.2
40.01,32,45.5,20.12
45.5,37.04,51.98,33.89
46.04,41.45,59,22.1
56.48,40.55,64.94,18.41
50.54,40.55,55.94,13.19
50.54,42.53,54.95,10.4
50.99,45.5,56.03,9.14
39.02,35.51,61.97,16.97
38.48,34.97,61.97,20.12
40.01,35.51,55.04,19.67
52.43,38.03,66.02,13.46
56.48,48.47,60.98,-1.57
41,50.99,52.52,-9.94
38.03,36.05,48.02,-9.58
46.49,36.5,50.99,2.39
37.04,36.05,52.52,6.17
23.54,22.55,59,13.1
27.5,15.53,42.98,9.5
32.99,23.54,50,15.08
32.99,29.48,55.49,14
42.08,34.43,49.01,20.39
37.04,35.96,54.5,10.58
37.58,35.96,64.49,2.75
33.53,35.96,53.06,1.58
32,35.96,43.97,19.31
33.98,35.96,45.5,19.58
35.96,25.07,50.45,12.2
32.99,28.04,44.96,18.95
37.49,26.51,40.01,14.99
32.54,32,41.99,4.19
35.06,32.45,41.99,15.71
35.51,31.46,43.97,13.82
40.01,27.5,51.44,22.46
33.98,32.99,41.54,13.19
33.98,30.02,40.46,28.31
39.02,32.99,42.98,20.93
39.47,38.48,50,13.64
41,39.02,53.51,8.33
44.96,35.51,53.51,16.79
43.97,40.46,60.53,9.23
46.49,40.01,61.52,16.34
42.53,40.01,50.54,17.69
36.05,39.47,41,22.19
39.47,35.51,42.44,20.93
40.55,33.53,44.51,20.39
38.57,37.49,48.02,24.08
41.45,41,50.45,27.95
37.58,39.02,54.5,25.79
38.57,39.02,48.47,23.99
43.52,38.03,43.52,29.3
38.03,41.54,45.95,27.59
42.44,41.54,46.49,26.15
43.52,44.96,47.03,26.06
48.02,46.49,54.05,24.89
54.05,47.48,57.56,14.63
59.54,52.97,61.52,23.18
60.53,52.52,66.02,24.17
60.53,56.03,65.48,28.85
58.46,50,62.51,28.31
53.51,50.99,54.5,28.31
50.99,48.02,56.48,35.78
45.5,47.48,54.05,38.12
49.55,49.55,50.54,34.88
56.48,53.06,54.5,30.56
55.49,54.5,59,25.97
59,56.48,59.45,36.41
60.53,59.45,60.98,33.53
55.04,66.47,54.95,24.8
52.52,55.49,55.49,29.39
56.48,49.55,59.54,21.2
62.42,55.04,62.96,32.63
51.44,59.99,66.47,30.47
44.96,39.47,57.47,41
53.51,39.47,63.5,44.87
