College,US World and News Ranking,TuitionState,TuitionOutState,TotalEnroll,Fall14Accep,Private,Selective,Setting,Endowment,FRR,Fewer20,4YrGradRate,Fraternity,Sorority,Athletics,PercentAid
Princeton University,1,43450,43450,8088,7.4,Private,y,Suburban,20576361000,98.3,71.8,90,0,0,1,58.8
Harvard University,2,45278,45278,19929,6,Private,y,Urban,36429256000,97,74,86,0,0,1,59.6
Yale University,3,47600,47600,12336,6.3,Private,y,City,23858561000,98.8,74.6,87,0,0,1,49.9
Stanford University,4,46320,46320,16795,5.1,Private,y,Suburban,21466006000,98.3,70.2,76,24,28,1,48.3
Columbia University,4,51008,51008,24221,7,Private,y,Urban,9223047000,99,82.4,90,19,9,1,49.4
University of Chicago,4,50193,50193,12558,8.8,Private,y,Urban,6539289712,99,77.1,87,8,12,3,45.7
Massachusetts Institute of Technology,7,46704,46704,11319,7.9,Private,y,Urban,12425131000,98,67.3,81,50,32,1,59.4
Duke University,8,49341,49341,15856,11.4,Private,y,Suburban,7036776000,97,73,87,30,39,1,45.5
University of Pennsylvania,9,49536,49536,21296,10.4,Private,y,Urban,9582335000,97.8,67.4,87,30,27,1,47.8
Johns Hopkins University,10,48710,48710,21484,15,Private,y,Urban,3392529000,96.8,71.9,88,23,25,3,46.7
California Institute of Technology,10,45390,45390,2209,8.8,Private,y,Suburban,2118100000,97,64.9,85,0,0,3,50.4
Dartmouth College,12,49506,49506,6298,11.5,Private,y,Rural,4468219698,98.3,64,88,46,44,1,51.1
Northwestern University,12,49047,49047,20336,13.1,Private,y,Suburban,7501116000,97,76.3,85,29,32,1,44.2
Brown University,14,49346,49346,9181,8.7,Private,y,City,299749000,97.5,68.3,84,22,10,1,45.2
Vanderbilt University,15,43838,43838,12686,13.1,Private,y,Urban,4046250000,96.5,66,88,32,54,1,48.7
Cornell University,15,49116,49116,21850,14.2,Private,y,Rural,5889948788,96.8,55.3,87,27,23,1,47.4
Washington University in St. Louis,15,48093,48093,14348,17.1,Private,y,Suburban,6719449000,96.5,65.9,90,25,25,3,40
Rice University,18,42253,42253,6621,15.1,Private,y,Urban,6719449000,96.8,67.5,82,0,0,1,39.2
University of Notre Dame,18,47929,47929,12179,16,Private,y,City,8189096000,97.8,57.6,91,0,0,1,45.2
UC Berkeley,20,13432,31840,37581,21,Public,y,City,3730882000,96.8,59,72,10,10,1,51.2
Georgetown University,21,48611,48611,17858,17.4,Private,y,Urban,1461276000,96,60.8,91,0,0,1,38.2
Emory University,21,46314,46314,14769,26.8,Private,y,City,6981307921,95,60.9,84,28,30,3,44.4
UCLA,23,12753,35631,43239,18.6,Public,y,Urban,3001846000,96.5,50.9,73,15,15,1,55.3
University of Southern California,23,50210,50210,42469,18,Private,y,Urban,3001846000,96.8,57.1,76,25,20,1,39.3
Carnegie Mellon University,23,50410,50410,13285,24.6,Private,y,Urban,1235967714,95.3,64.9,72,21,20,3,44.7
University of Virginia,26,14526,43822,23732,29,Public,y,Suburban,5876310216,97,55,87,25,28,1,33.3
Tufts University,27,50604,50604,10907,17.3,Private,y,Suburban,1590045000,96.3,68.8,88,19,17,3,38.7
Wake Forest University,27,47682,47682,7788,34.4,Private,y,Suburban,1148026000,93.5,54.8,83,39,58,1,35.3
University of Michigan-Ann Arbor,29,14336,43377,43625,32.2,Public,y,City,9603919000,96.8,48.1,76,17,25,1,38.3
UNC Chapel Hill,30,8562,33644,29135,28.5,Public,y,Suburban,2659759286,96.8,39.2,81,18,18,1,43.6
